slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
liforme-liforme-classic-yoga-mat,"Liforme Classic Yoga Mat",liforme,160,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Yoga-Mats_0000_Frame1.png?v=1740420556,6149522456751
liforme-liforme-cosmic-moon-yoga-mat,"Liforme Cosmic Moon Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Yoga-Mats_0002s_0002_Liforme-Cosmic-Moon-Yoga-Mat-Front-View_dd439b98-a36f-4724-9426-94cd4259aede.png?v=1764692225,7765817622703
liforme-liforme-magic-galaxy-yoga-mat-gold-silver,"Liforme Magic Galaxy Yoga Mat - Gold & Silver",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Magic_Galaxy_Yoga_Mat_Silver_Gold_Black_Frontview.png?v=1758894743,14969576849784
liforme-liforme-tropical-paradise-yoga-mat,"Liforme Tropical Paradise Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Tropical_Yoga_Mat_Frontview_53be866e-9f24-4e0f-947c-3a3c0c1e685e.png?v=1758557981,14958245052792
liforme-liforme-x-you-your-unique-yoga-mat,"Liforme x You - A unique Yoga Mat",liforme,240,4,,,,,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/liforme_x_you_-_star_pick.png?v=1766482986,7159308124335
liforme-liforme-mindful-garden-yoga-mat,"Liforme Mindful Garden Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Yoga-Mats_0005s_0000_22.04.29-Mindful-Garden-Mat---FINAL-01-copy.png?v=1757075404,7765813526703
liforme-liforme-blossoming-lotus-yoga-mat,"Liforme Blossoming Lotus Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Untitled-1_0002_Front-View-Lotus-Purple.png?v=1765284979,7769349980335
liforme-liforme-deep-forest-mindful-garden-yoga-mat,"Liforme Deep Forest Mindful Garden Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Forrest_Green_9c64ce67-ae25-4038-8a7d-933759da4203.png?v=1746618242,14909729276280
liforme-liforme-white-magic-yoga-mat,"Liforme White Magic Yoga Mat",liforme,200,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_White_Magic_Yoga_Mat_Front-View.png?v=1711469510,7772431286447
liforme-liforme-magic-galaxy-yoga-mat-silver,"Liforme Magic Galaxy Yoga Mat - Silver",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Magic_Galaxy_Yoga_Mat_Silver_Dusk_Blue_Frontview.png?v=1764254814,14969535791480
liforme-liforme-black-gold-yoga-mat,"Liforme Black & Gold Yoga Mat",liforme,200,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Black-_-Gold_Yoga_Mat_Front_View_bc70df73-2972-4d14-a2f4-d25205fa823f.png?v=1713261497,7769350373551
