slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
42birds-cork-yoga-mat,"Cork Lightweight Yoga Mat “The Robin”",42birds,,5,,,0.8618265279277155,Cotton,"Eco-Friendly; Non-Slip; Lightweight; Extra Wide; Antimicrobial",,876111003695
42birds-industrial-mat-the-imperial-eagle,"Cork Yoga Industrial Mat “The Imperial Eagle”",42birds,,6,,,2.4947610018960185,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Extra Wide; Antimicrobial",,1127858012207
42birds-extra-long-mat,"Extra Long Cork Lightweight Yoga Mat ""The Robin""",42birds,,5,,,1.1339822735890994,Cotton,"Eco-Friendly; Non-Slip; Lightweight; Extra Long; Extra Wide; Antimicrobial",,1373998383151
42birds-extra-long-cork-yoga-industrial-mat-the-imperial-eagle,"Extra Long Cork Yoga Industrial Mat “The Imperial Eagle”",42birds,,6,,,2.5854795837831466,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Extra Long; Extra Wide; Antimicrobial",,7263667257527
42birds-cork-yoga-mat-massage-balls-and-yoga-block-bundle-the-flock,"Cork Lightweight Yoga Mat, Massage Balls and Yoga Block Bundle - ""The Flock""",42birds,,5,,,0.8618265279277155,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Extra Wide",,1056970407983
42birds-cork-yoga-mat-and-two-block-bundle,"Cork Lightweight Yoga Mat and Two-Block Bundle",42birds,,5,,,0.8618265279277155,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Extra Wide",,1067263787055
42birds-cork-yoga-mat-and-massage-balls-bundle,"Cork Lightweight Yoga Mat and Massage Balls Bundle",42birds,,5,,,0.8618265279277155,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Extra Wide",,1067263819823
42birds-cork-industrial-yoga-mat-and-two-block-bundle,"Cork Industrial Yoga Mat and Two-Block Bundle",42birds,,6,,,2.4947610018960185,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Extra Wide; Antimicrobial",,7168914358455
42birds-cork-extra-long-yoga-mat-and-two-block-bundle,"Cork Extra Long Yoga Mat and Two-Block Bundle",42birds,,5,,,1.1339822735890994,Natural Rubber,"Eco-Friendly; Non-Slip; Extra Long; Extra Wide",,7168916127927
42birds-all-natural-cork-yoga-mat,"100% Cork Yoga Mat ""The Woodpecker""",42birds,,5,,,1.1339822735890994,Cotton,"Eco-Friendly; Non-Slip; Antimicrobial",,1373992189999
ananday-ananday-cork-yoga-mat,"Ananday Cork Yoga Mat",ananday,,4,182.88,60.96,2.4494017109524546,Natural Rubber,"Eco-Friendly; Reversible; Extra Thick; Non-Slip; Extra Wide; Antimicrobial; Premium",,4420382163079
ananday-cork-yoga-mat-and-strap-set,"Ground + Stretch Bundle",ananday,,4,182.88,60.96,2.4494017109524546,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Lightweight; Extra Wide; Alignment Marks; Antimicrobial",,6857887940772
ananday-home-yoga-starter-set,"Home Yoga Starter Set",ananday,,4,182.88,60.96,2.4494017109524546,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Lightweight; Extra Wide; Alignment Marks; Antimicrobial; Premium",,5411332849828
ananday-ground-cleanse-bundle,"Ground + Cleanse Bundle",ananday,,4,182.88,60.96,2.4494017109524546,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Extra Wide; Antimicrobial",,8089072763139
