slug,name,brandSlug,description,minPrice,maxPrice,priceCurrency,thicknessValue,thicknessUnit,thicknessOriginal,lengthValue,lengthUnit,lengthOriginal,widthValue,widthUnit,widthOriginal,weightValue,weightUnit,weightOriginal,material,texture,features,availableColors,variantsCount,isAvailable,shopifyId,shopifyHandle,shopifyVendor,shopifyProductType,shopifyTags,shopifyCreatedAt,shopifyPublishedAt,primaryImageUrl
42birds-cork-yoga-mat,Cork Lightweight Yoga Mat “The Robin”,42birds,"description
specifications
use & care



Why You'll Love It. Our top-selling mat, The Robin, pairs sustainable cork with an ultra-light natural base for reliable comfort at the studio, on your next adventure, and everywhere in between.
Key Features

Lightweight & travel-ready: Easy to bring wherever your practice takes you.
Superior grip: Cork naturally increases traction with moisture, making it ideal for sweaty or hot yoga classes.
Naturally antimicrobial: Say goodbye to harsh cleaning chemicals – resists mold, mildew, and odors.
Eco-conscious design: Made with sustainable cork and recyclable materials.
Attractive aesthetic: Natural cork surface that looks great at home or in the studio.




Dimensions: 72″ × 26″
Thickness: 5 mm
Weight: 1.9 lbs
Rolled Diameter: 4""
Top Material: 100% sustainable cork
Base Material: Eco-friendly, slip resistant foam (100% recyclable, free of PVC, plasticizers, and latex.)




Before first use: Unroll and let it lay flat for a few hours.
During practice: Place cork side up — you can lightly mist with water for even more grip.
Cleaning: Wipe with a damp cloth after practice. For deeper cleaning, try our natural yoga mat spray; avoid harsh cleaners to protect the cork surface.
Drying: Always air-dry completely before rolling up to prevent moisture buildup.
Storage: Store in a cool, dry place, rolled cork-side out to preserve shape.",80,80,USD,5,mm,5 mm,182.88,cm,"72″ × 26″
",66.04,cm,"72″ × 26″
",0.8618265279277155,kg,1.9 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Lightweight; Travel; Antimicrobial,,1,true,876111003695,cork-yoga-mat,42 Birds,,Best Sellers,2018-06-21T17:03:16-04:00,2019-09-10T16:36:08-04:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Robin.jpg?v=1645586809
42birds-industrial-mat-the-imperial-eagle,Cork Yoga Industrial Mat “The Imperial Eagle”,42birds,"description
specifications
use & care



Why You'll Love It. Our most supportive mat, The Imperial Eagle, combines sustainable cork with a thicker natural base for superior comfort, stability, and grip wherever you practice.
Key Features

Extra support for added performance: Thicker base provides added comfort for all of your favorite practices, including yoga, Pilates, and HIIT workouts.
Superior grip: Cork naturally increases traction with moisture, making it ideal for sweaty or hot yoga classes.
Naturally antimicrobial: Say goodbye to harsh cleaning chemicals – resists mold, mildew, and odors.
Durable studio-quality design: Built to withstand the toughest practices and features a strong, stable, non-slip base.
Eco-conscious design: Made with sustainable cork and recyclable materials.
Attractive aesthetic: Natural cork surface that looks great at home or in the studio.




Dimensions: 72″ × 26″
Thickness: 6 mm
Weight: 5.5 lbs
Rolled Diameter: 4""
Top Material: 100% sustainable cork
Base Material: Natural rubber (100% recyclable, free of PVC and plasticizers)




Before first use: Unroll and let it lay flat for a few hours.
During practice: Place cork side up — you can lightly mist with water for even more grip.
Cleaning: Wipe with a damp cloth after practice. For deeper cleaning, try our natural yoga mat spray; avoid harsh cleaners to protect the cork surface.
Drying: Always air-dry completely before rolling up to prevent moisture buildup.
Storage: Store in a cool, dry place, rolled cork-side out to preserve shape.",98,98,USD,6,mm,6 mm,182.88,cm,"72″ × 26″
",66.04,cm,"72″ × 26″
",2.4947610018960185,kg,5.5 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Antimicrobial,,1,true,1127858012207,industrial-mat-the-imperial-eagle,42 Birds,,,2019-03-16T12:03:04-04:00,2019-09-07T13:01:30-04:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/ImpEagle.jpg?v=1645587013
42birds-extra-long-mat,"Extra Long Cork Lightweight Yoga Mat ""The Robin""",42birds,"description
specifications
use & care



Why You'll Love It. The extra long Robin cork yoga mat gives you extra space without extra weight, combining eco-friendly materials, a strong grip, and lightweight portability.
Key Features

Lightweight & travel-ready: Easy to bring wherever your practice takes you.
Extra length: With an extra 13 inches, you can stretch a little deeper, and it is perfect for our taller yogis.
Superior grip: Cork naturally increases traction with moisture, making it ideal for sweaty or hot yoga classes.
Naturally antimicrobial: Say goodbye to harsh cleaning chemicals – resists mold, mildew, and odors.
Eco-conscious design: Made with sustainable cork and recyclable materials.
Attractive aesthetic: Natural cork surface that looks great at home or in the studio.




Dimensions: 85″ × 26″
Thickness: 5 mm
Weight: 2.5 lbs
Rolled Diameter: 4""
Top Material: 100% sustainable cork
Base Material: Eco-friendly, slip resistant foam (100% recyclable, free of PVC, plasticizers, and latex.)




Before first use: Unroll and let it lay flat for a few hours.
During practice: Place cork side up — you can lightly mist with water for even more grip.
Cleaning: Wipe with a damp cloth after practice. For deeper cleaning, try our natural yoga mat spray; avoid harsh cleaners to protect the cork surface.
Drying: Always air-dry completely before rolling up to prevent moisture buildup.
Storage: Store in a cool, dry place, rolled cork-side out to preserve shape.",92,92,USD,5,mm,5 mm,215.9,cm,"85″ × 26″
",66.04,cm,"85″ × 26″
",1.1339822735890994,kg,2.5 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Lightweight; Travel; Antimicrobial,,1,false,1373998383151,extra-long-mat,42 Birds,,,2019-09-03T10:33:42-04:00,2019-09-07T13:01:28-04:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Robin_XL.jpg?v=1645587071
42birds-extra-long-cork-yoga-industrial-mat-the-imperial-eagle,Extra Long Cork Yoga Industrial Mat “The Imperial Eagle”,42birds,"description
specifications
use & care



Why You'll Love It. Our most supportive mat also comes in an extra long version. The Extra Long Imperial Eagle combines sustainable cork with a thicker natural base for superior comfort, stability, and grip wherever you practice.
Key Features

Extra support for added performance: Thicker base provides added comfort for all of your favorite practices, including yoga, Pilates, and HIIT workouts.
13 additional inches: Stretch a little deeper with the extra length, and it is perfect for our taller yogis.
Superior grip: Cork naturally increases traction with moisture, making it ideal for sweaty or hot yoga classes.
Naturally antimicrobial: Say goodbye to harsh cleaning chemicals – resists mold, mildew, and odors.
Durable studio-quality design: Built to withstand the toughest practices and features a strong, stable, non-slip base.
Eco-conscious design: Made with sustainable cork and recyclable materials.
Attractive aesthetic: Natural cork surface that looks great at home or in the studio.




Dimensions: 85″ × 26″
Thickness: 6 mm
Weight: 5.7 lbs
Rolled Diameter: 4""
Top Material: 100% sustainable cork
Base Material: Natural rubber (100% recyclable, free of PVC and plasticizers)




Before first use: Unroll and let it lay flat for a few hours.
During practice: Place cork side up — you can lightly mist with water for even more grip.
Cleaning: Wipe with a damp cloth after practice. For deeper cleaning, try our natural yoga mat spray; avoid harsh cleaners to protect the cork surface.
Drying: Always air-dry completely before rolling up to prevent moisture buildup.
Storage: Store in a cool, dry place, rolled cork-side out to preserve shape.",112,112,USD,6,mm,6 mm,215.9,cm,"85″ × 26″
",66.04,cm,"85″ × 26″
",2.5854795837831466,kg,5.7 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Antimicrobial,,1,true,7263667257527,extra-long-cork-yoga-industrial-mat-the-imperial-eagle,42 Birds,,,2023-01-10T16:21:21-05:00,2023-01-27T09:14:39-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/ImpEagle_XL.png?v=1675101883
42birds-cork-yoga-mat-massage-balls-and-yoga-block-bundle-the-flock,"Cork Lightweight Yoga Mat, Massage Balls and Yoga Block Bundle - ""The Flock""",42birds,"description
specifications
use & care



Why You'll Love It. Our signature bundle includes our lightweight Robin cork yoga mat, cork blocks, and massage balls — everything you need for a complete, eco-friendly practice at home or in the studio.
Key Features

Complete practice bundle: Our top-selling products to support movement, grounding, and recovery.
Superior cork grip: Natural cork surface provides strong traction that improves as you sweat.
Support + stability: Cork blocks offer firm, grounded support for balance, stretching, and alignment.
Recovery tools: Cork massage balls help release tension, improve mobility, and support muscle recovery.
Eco-conscious materials: Made with sustainable cork and eco-friendly foam, free from PVC and harsh chemicals.
Bundle value: Save when you buy the full set together.




Mat: 72″ × 26″ | 5 mm thick | 1.9 lbs

Top Material: 100% sustainable cork
Base Material: Eco-friendly, slip resistant foam (100% recyclable, free of PVC, plasticizers, and latex.)


Blocks: 9″ × 6″ × 4″ each
Massage Balls: (2) 60 mm + (1) 20 mm reflexology ball




Before first use: Unroll mat and allow it to lay flat.
During practice:

Place the cork side of the mat up — lightly mist with water for extra grip if needed.
Use the blocks to support your hands, hips, back, or body part to bring the ground closer to you.
Roll the balls on the areas of your body that you want to target.


Cleaning: Wipe mat and blocks with a damp cloth or natural mat spray.
Drying: Allow all cork products to fully air-dry before storing.
Storage: Store in a cool, dry place away from excess moisture.",148,148,USD,5,mm,5 mm,182.88,cm,72″ × 26″ ,66.04,cm,72″ × 26″ ,0.8618265279277155,kg,1.9 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Lightweight; Alignment Marks,,1,true,1056970407983,cork-yoga-mat-massage-balls-and-yoga-block-bundle-the-flock,42 Birds,,,2019-01-24T17:19:11-05:00,2024-03-05T17:34:00-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Flock_01.jpg?v=1645588227
42birds-cork-yoga-mat-and-two-block-bundle,Cork Lightweight Yoga Mat and Two-Block Bundle,42birds,"description
specifications
use & care



Why You'll Love It. This bundle pairs our top-selling Robin cork yoga mat with two cork blocks for added support, stability, and alignment — everything you need for a strong, eco-friendly practice at home or in the studio.
Key Features

Essential practice bundle: Includes a cork yoga mat and two cork yoga blocks for support, balance, and flexibility.
Superior cork grip: Natural cork surface provides traction that improves with moisture — ideal for all styles of yoga.
Stable, grounded support: Cork blocks offer firm, non-slip stability for balance, stretching, and alignment.
Lightweight but durable: Easy to carry to class while strong enough for daily practice.
Eco-conscious materials: Made with sustainable cork and an eco-friendly foam base, free from harsh chemicals.
Bundle savings: Save when you purchase the set together.




Mat: 72″ × 26″ | 5 mm thick | 1.9 lbs

Top Material: 100% sustainable cork
Base Material: Eco-friendly, slip resistant foam (100% recyclable, free of PVC, plasticizers, and latex.)


Blocks: 9″ × 6″ × 4″ each | 2.2 lbs




Before first use: Unroll mat and allow it to lay flat.
During practice:

Place the cork side of the mat up — lightly mist with water for extra grip if needed.
Use the blocks to support your hands, hips, back, or body part to bring the ground closer to you.


Cleaning: Wipe mat and blocks with a damp cloth or natural mat spray.
Drying: Allow all cork products to fully air-dry before storing.
Storage: Store in a cool, dry place away from excess moisture.",119,119,USD,5,mm,5 mm,182.88,cm,72″ × 26″ ,66.04,cm,72″ × 26″ ,0.8618265279277155,kg,1.9 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Lightweight; Alignment Marks,,1,true,1067263787055,cork-yoga-mat-and-two-block-bundle,42 Birds,,,2019-02-06T03:39:38-05:00,2024-03-05T17:33:46-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Flock_02.jpg?v=1645588128
42birds-cork-yoga-mat-and-massage-balls-bundle,Cork Lightweight Yoga Mat and Massage Balls Bundle,42birds,"description
specifications
use & care



Why You'll Love It. This bundle pairs our top-selling Robin cork yoga mat with cork massage balls, giving you the perfect combination for active practice and targeted recovery — wherever your flow takes you.
Key Features

Practice + recovery: Includes our Robin yoga mat and cork massage balls to support movement, mobility, and muscle release.
Superior cork grip: Natural cork surface improves traction with moisture for steady poses and safe stretching.
Targeted muscle relief: Cork massage balls help release tension, improve flexibility, and support recovery after practice.
Lightweight & portable: Easy to bring to the studio, home, or travel.
Eco-conscious materials: Made with sustainable cork and an eco-friendly foam base, free from PVC and harsh chemicals.
Bundle value: Save when you purchase this practice + recovery set together.




Mat: 72″ × 26″ | 5 mm thick | 1.9 lbs

Top Material: 100% sustainable cork
Base Material: Eco-friendly, slip resistant foam (100% recyclable, free of PVC, plasticizers, and latex.)


Massage Balls: (2) 60 mm + (1) 20 mm reflexology ball




Before first use: Unroll mat and allow it to lay flat.
During practice:

Place the cork side of the mat up — lightly mist with water for extra grip if needed.
Roll the balls on the areas of your body that you want to target.


Cleaning: Wipe mat and balls with a damp cloth or natural mat spray.
Drying: Allow all cork products to fully air-dry before storing.
Storage: Store in a cool, dry place away from excess moisture.",108,108,USD,5,mm,5 mm,182.88,cm,72″ × 26″ ,66.04,cm,72″ × 26″ ,0.8618265279277155,kg,1.9 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Lightweight; Travel,,1,true,1067263819823,cork-yoga-mat-and-massage-balls-bundle,42 Birds,,,2019-02-06T03:39:39-05:00,2023-01-22T13:12:37-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Flock_03.jpg?v=1645587777
42birds-cork-industrial-yoga-mat-and-two-block-bundle,Cork Industrial Yoga Mat and Two-Block Bundle,42birds,"description
benefits



the 42 Birds cork industrial yoga mat and yoga block bundle will complete your yoga and fitness routine. Fully sustainable and eco-friendly, the cork material is non-slip with anti-microbial and self-cleaning properties that resist mold, mildew and bad smells.
At 6mm thick, there is a comfortable natural rubber base. This mat is ideal for someone who likes extra padding and who enjoys the extra weight that rubber provides. With the feeling of nature beating within you, we wish you a pure and inspiring yoga practice.
Includes: 1 Cork Industrial Yoga Mat ""The Imperial Eagle"" and 2 Cork Blocks ""The Nuthatch.""

Specifications: Cork Industrial Mat = 72″ x 26” | 6mm thick | 5.5 lbs. | 4 in. diameter rolled | Cork Block = 9” x 6” x 4”, 2.2 lbs



The industrial cork yoga mat is suitable for all yoga practices. For hot yoga, you can go towel-free and will not need to deal with a smelly mat. In fact, when moisture is added, the grip increases!
Top side: 100% sustainable cork that provides a superior grip in both dry and wet conditions. Cork is naturally antimicrobial and self-cleaning.
Bottom side: Comfortable, 6mm natural rubber, which upholds our eco-conscious values – 100% recyclable, and free of PVC, plasticizers, and latex.
Attractive design will look good no matter where it is stored.
The cork yoga block provides a comfortable yet firm grip, not found in foam blocks. Built to be sturdy, grounding, non-slip, and safe for all postures. 
Save with the bundle set, instead of purchasing each individually!",139,139,USD,6,mm,6mm,182.88,cm,72″ x 26” ,66.04,cm,72″ x 26” ,2.4947610018960185,kg,5.5 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Antimicrobial,,1,true,7168914358455,cork-industrial-yoga-mat-and-two-block-bundle,42 Birds,Home & Garden,,2022-08-04T14:00:59-04:00,2024-03-05T17:33:20-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Flock_IE_IND_02.jpg?v=1659636216
42birds-cork-extra-long-yoga-mat-and-two-block-bundle,Cork Extra Long Yoga Mat and Two-Block Bundle,42birds,"description
benefits



the 42 Birds cork extra long yoga mat and yoga block bundle will complete your yoga and fitness routine. Fully sustainable and eco-friendly, the cork material is non-slip with anti-microbial and self-cleaning properties that resist mold, mildew and bad smells.
With cork, you can finally avoid toxins and chemicals via rubber/plastic, which are used in most yoga and fitness products. The beauty and elegance of cork will look great in your home and yoga studio.
Includes: 1 Cork Extra Long Yoga Mat ""The Robin"" and 2 Cork Blocks ""The Nuthatch.""

Specifications: Cork Extra Long Mat = 85″ x 26” | 5mm thick | 2.5 lbs. | 4 in. diameter rolled | Cork Block = 9” x 6” x 4”, 2.2 lbs



The extra long cork yoga mat is super light and offers perfect grip, even in the sweatiest yoga practices. In fact, when moisture is added, the grip increases!
The cork yoga block provides a comfortable yet firm grip, not found in foam blocks. Built to be sturdy, grounding, non-slip and safe for all postures. 
Save with the bundle set, instead of purchasing each individually!",128,128,USD,5,mm,5mm,215.9,cm,85″ x 26” ,66.04,cm,85″ x 26” ,1.1339822735890994,kg,2.5 lbs,Cork,Grippy,Eco-Friendly; Non-Slip,,1,false,7168916127927,cork-extra-long-yoga-mat-and-two-block-bundle,42 Birds,Home & Garden,,2022-08-04T14:23:44-04:00,2024-03-05T17:34:35-05:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/Flock_XL_02.jpg?v=1659637445
42birds-all-natural-cork-yoga-mat,"100% Cork Yoga Mat ""The Woodpecker""",42birds,"description
benefits



For the purists out there, the 100% cork mat by 42 Birds contains only cork and nothing else. The sustainable cork is non-slip with natural anti-microbial properties that resist mold, mildew and bad smells.
With 5mm thickness of pure cork, this mat offers a more firm than soft cushioning. Complimentary cotton carrying and yoga mat strap included. With the feeling of nature beating within you, we wish you a pure and inspiring yoga practice.



Suitable for all styles of yoga. For hot yoga, you can go towel-free and will not need to deal with a smelly mat.
Top/bottom side: 100% sustainable cork that provides a superior grip in both dry and wet conditions. Cork is naturally antimicrobial and self-cleaning.
Attractive design will look good no matter where it is stored.

Specifications: 72″ x 24” | 5mm thick | 2.5 lbs. | 6 in. diameter rolled
Pro Tip: For extra grip, spray water on your mat in the area your hands and feet go before practice",84,84,USD,5,mm,5mm,182.88,cm,72″ x 24” ,60.96,cm,72″ x 24” ,1.1339822735890994,kg,2.5 lbs,Cork,Grippy,Eco-Friendly; Non-Slip; Antimicrobial,,1,false,1373992189999,all-natural-cork-yoga-mat,42 Birds,,,2019-09-03T10:30:49-04:00,2019-09-07T13:01:24-04:00,https://cdn.shopify.com/s/files/1/0018/6777/6047/products/100Cork.jpg?v=1645587150
